site_pair_id,sample,year,property,value
PAIR_038,HJA_CC-4_2025,2025,DBE,12.2422680412371
PAIR_038,HJA_CC-4_2025,2025,lambdaO2,0.0436780453728227
PAIR_036,HJA_CC-2_2025,2025,NOSC,-0.27476101553795
PAIR_036,HJA_CC-2_2025,2025,O:C ratio,0.376614355900214
PAIR_036,HJA_CC-2_2025,2025,H:C ratio,1.1338614323021
PAIR_036,HJA_CC-2_2025,2025,AI_Mod,0.356911735347543
PAIR_036,HJA_CC-2_2025,2025,DBE,13.0909090909091
PAIR_036,HJA_CC-2_2025,2025,lambdaO2,0.0419992413517207
PAIR_002,HJA_156_2025,2025,NOSC,-0.529978674889421
PAIR_002,HJA_156_2025,2025,O:C ratio,0.372193169701134
PAIR_002,HJA_156_2025,2025,H:C ratio,1.39426641710226
PAIR_002,HJA_156_2025,2025,AI_Mod,0.229871985208774
PAIR_002,HJA_156_2025,2025,DBE,8.40845070422535
PAIR_002,HJA_156_2025,2025,lambdaO2,0.0438487844439132
PAIR_014,HJA_49_2025,2025,NOSC,-0.357052385638117
PAIR_014,HJA_49_2025,2025,O:C ratio,0.31537096660901
PAIR_014,HJA_49_2025,2025,H:C ratio,1.29883333155817
PAIR_014,HJA_49_2025,2025,AI_Mod,0.28551611631899
PAIR_014,HJA_49_2025,2025,DBE,10.348224513173
PAIR_014,HJA_49_2025,2025,lambdaO2,0.0435748626269617
PAIR_042,HJA_KC-4_2025,2025,NOSC,-0.44853449438698
PAIR_042,HJA_KC-4_2025,2025,O:C ratio,0.431715830871655
PAIR_042,HJA_KC-4_2025,2025,H:C ratio,1.37060654152041
PAIR_042,HJA_KC-4_2025,2025,AI_Mod,0.212066810237158
PAIR_042,HJA_KC-4_2025,2025,DBE,8.67334360554699
PAIR_042,HJA_KC-4_2025,2025,lambdaO2,0.0419458571178795
PAIR_012,HJA_45_2025,2025,NOSC,-0.28521564947553
PAIR_012,HJA_45_2025,2025,O:C ratio,0.348598831456588
PAIR_012,HJA_45_2025,2025,H:C ratio,1.30640868833605
PAIR_012,HJA_45_2025,2025,AI_Mod,0.283497274796612
PAIR_012,HJA_45_2025,2025,DBE,9.83515283842795
PAIR_012,HJA_45_2025,2025,lambdaO2,0.0445081046213464
PAIR_037,HJA_CC-3_2025,2025,NOSC,-0.254579341549006
PAIR_037,HJA_CC-3_2025,2025,O:C ratio,0.39508482677141
PAIR_037,HJA_CC-3_2025,2025,H:C ratio,1.12439503109276
PAIR_037,HJA_CC-3_2025,2025,AI_Mod,0.350771658562749
PAIR_037,HJA_CC-3_2025,2025,DBE,12.8613861386139
PAIR_037,HJA_CC-3_2025,2025,lambdaO2,0.0385835825717853
PAIR_032,HJA_WS3-2_2025,2025,NOSC,-0.547277070335471
PAIR_032,HJA_WS3-2_2025,2025,O:C ratio,0.397225641464317
PAIR_032,HJA_WS3-2_2025,2025,H:C ratio,1.4075173216259
PAIR_032,HJA_WS3-2_2025,2025,AI_Mod,0.202206697939954
PAIR_032,HJA_WS3-2_2025,2025,DBE,7.94947368421053
PAIR_032,HJA_WS3-2_2025,2025,lambdaO2,0.0427231302224497
PAIR_027,HJA_83_2025,2025,NOSC,-0.594324433272098
PAIR_027,HJA_83_2025,2025,O:C ratio,0.419981084173561
PAIR_027,HJA_83_2025,2025,H:C ratio,1.43443277428165
PAIR_027,HJA_83_2025,2025,AI_Mod,0.198878409735242
PAIR_027,HJA_83_2025,2025,DBE,7.85242896425298
PAIR_027,HJA_83_2025,2025,lambdaO2,0.0413313861014033
PAIR_008,HJA_177_2025,2025,NOSC,-0.418321175673692
PAIR_008,HJA_177_2025,2025,O:C ratio,0.33821927180525
PAIR_008,HJA_177_2025,2025,H:C ratio,1.37237894457937
PAIR_008,HJA_177_2025,2025,AI_Mod,0.249076411714157
PAIR_008,HJA_177_2025,2025,DBE,9.03476821192053
PAIR_008,HJA_177_2025,2025,lambdaO2,0.0439881299468702
PAIR_009,HJA_178_2025,2025,NOSC,-0.482999425962166
PAIR_009,HJA_178_2025,2025,O:C ratio,0.439865838797576
PAIR_009,HJA_178_2025,2025,H:C ratio,1.36863116302371
PAIR_009,HJA_178_2025,2025,AI_Mod,0.214766913042658
PAIR_009,HJA_178_2025,2025,DBE,8.20784729586426
PAIR_009,HJA_178_2025,2025,lambdaO2,0.0429288654329139
PAIR_031,HJA_WS1-5_2025,2025,NOSC,-0.402893143981216
PAIR_031,HJA_WS1-5_2025,2025,O:C ratio,0.404766387492621
PAIR_031,HJA_WS1-5_2025,2025,H:C ratio,1.35051393169787
PAIR_031,HJA_WS1-5_2025,2025,AI_Mod,0.237307692630291
PAIR_031,HJA_WS1-5_2025,2025,DBE,9.1055900621118
