Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
261.061834343,10,14,8,0,0,0,0,O8,261.061590955,0.932301094,C10H14O8,0,0,4,-4,-4,54.6,260.770330367,0.229669633,0.2,0.8,1.4,0,0,-9999,Other,Tannin,Other,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
212.092909238,10,15,4,1,0,0,0,N1 O4,212.092831514,0.36646512,C10H15O4N,0,0.142857143,4,0,-1,71.7,211.856084401,0.143915599,-0.4,0.4,1.5,0.1,0,-9999,Protein,Protein,Other,71.7,-140.055369783,0.097177236,0.089455086,717,-1400.553697827
228.087814781,10,15,5,1,0,0,0,N1 O5,228.087746133,0.300971054,C10H15O5N,0,0.076923077,4,-1,-2,66,227.83312989,0.16687011,-0.2,0.5,1.5,0.1,0,-9999,Protein,Protein,Other,66,-137.764601112,0.114076155,0.10117382,660,-1377.646011116
244.082668327,10,15,6,1,0,0,0,N1 O6,244.082660753,0.031030859,C10H15O6N,0,0,4,-2,-3,60.3,243.810123439,0.189876561,0,0.6,1.5,0.1,0,-9999,Amino Sugar,Amino Sugar,Other,60.3,-135.473832441,0.115696287,0.100063795,603,-1354.738324406
272.088869633,10,15,6,3,0,0,0,N3 O6,272.088808762,0.223716985,C10H15O6N3,0,0,5,-1,-4,43.2,271.78505277,0.21494723,0.6,0.6,1.5,0.3,0,-9999,Amino Sugar,Amino Sugar,Protein,43.2,-120.610757756,0.12331573,0.114094139,432,-1206.107577564
260.077710582,10,15,7,1,0,0,0,N1 O7,260.077575373,0.519882863,C10H15O7N,0,0,4,-3,-4,54.6,259.787305487,0.212694513,0.2,0.7,1.5,0.1,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
277.048436628,10,15,7,0,0,1,0,P1 O7,277.048263367,0.625382467,C10H15O7P,0,0,4,-3,-4,77.4,276.739081868,0.260918132,-0.6,0.7,1.5,0,0.1,0,Carbohydrate;Amino Sugar,Amino Sugar,Other,77.4,-154.33229146,0.089549361,0.078538732,774,-1543.322914603
293.043384231,10,15,8,0,0,1,0,P1 O8,293.043177986,0.703803779,C10H15O8P,0,0,4,-4,-5,71.7,292.71616937,0.28383063,-0.4,0.8,1.5,0,0.1,0,Carbohydrate,Carbohydrate,Other,71.7,-152.041522789,0.097177236,0.085056238,717,-1520.415227892
292.067324916,10,15,9,1,0,0,0,N1 O9,292.067404612,-0.272866162,C10H15O9N,0,0,4,-5,-6,43.2,291.741199932,0.258800068,0.6,0.9,1.5,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,43.2,-128.601526427,0.12331573,0.109463197,432,-1286.015264275
337.044484182,10,15,9,2,0,1,0,N2 P1 O9,337.044240615,0.722657173,C10H15O9N2P,0,0,5,-4,-7,48.9,336.6681373,0.3318627,0.4,0.9,1.5,0.2,0.1,2,Carbohydrate,Carbohydrate,Nucleotide,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
183.102682921,10,16,3,0,0,0,0,O3,183.102667922,0.081918121,C10H16O3,0,0.176470588,3,0,0,88.8,182.89822883,0.10177117,-1,0.3,1.6,0,0,-9999,Lipid;Protein,Lipid,Other,88.8,-150.923060131,0.075936985,0.069150166,888,-1509.230601313
199.097648619,10,16,4,0,0,0,0,O4,199.097582542,0.331882131,C10H16O4,0,0.125,3,-1,-1,83.1,198.875334405,0.124665595,-0.8,0.4,1.6,0,0,-9999,Protein,Protein,Other,83.1,-148.63229146,0.082489679,0.074989033,831,-1486.322914603
227.103841952,10,16,4,2,0,0,0,N2 O4,227.10373055,0.490531818,C10H16O4N2,0,0,4,0,-2,66,226.850255773,0.149744227,-0.2,0.4,1.6,0.2,0,-9999,Protein,Protein,Protein,66,-133.769216776,0.114076155,0.106502072,660,-1337.692167761
215.092561098,10,16,5,0,0,0,0,O5,215.092497161,0.297251855,C10H16O5,0,0.066666667,3,-2,-2,77.4,214.852386823,0.147613177,-0.6,0.5,1.6,0,0,-9999,Protein,Protein,Other,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
243.098711698,10,16,5,2,0,0,0,N2 O5,243.09864517,0.273666081,C10H16O5N2,0,0,4,-1,-3,60.3,242.827265505,0.172734495,0,0.5,1.6,0.2,0,-9999,Protein,Protein,Protein,60.3,-131.478448105,0.115696287,0.105833106,603,-1314.784481051
247.06442668,10,16,5,0,1,0,0,S1 O5,247.064568336,-0.573353714,C10H16O5S,0,0,3,-2,-3,71.7,246.788552334,0.211447666,-0.4,0.5,1.6,0,0,-9999,Protein,Protein,Other,71.7,-148.046138454,0.097177236,0.086499647,717,-1480.461384537
231.087481577,10,16,6,0,0,0,0,O6,231.087411781,0.30203443,C10H16O6,0,0,3,-3,-3,71.7,230.829447231,0.170552769,-0.4,0.6,1.6,0,0,-9999,Amino Sugar,Amino Sugar,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
259.093641989,10,16,6,2,0,0,0,N2 O6,259.09355979,0.317257303,C10H16O6N2,0,0,4,-2,-4,54.6,258.804335714,0.195664286,0.2,0.6,1.6,0.2,0,-9999,Amino Sugar,Amino Sugar,Protein,54.6,-129.187679434,0.117093486,0.104773535,546,-1291.87679434
323.037952726,10,16,6,2,2,0,0,N2 S2 O6,323.037702138,0.775723267,C10H16O6N2S2,0,0,4,-2,-6,43.2,322.677245662,0.322754338,0.6,0.6,1.6,0.2,0,-9999,Amino Sugar,Amino Sugar,Protein,43.2,-132.596910763,0.12331573,0.107214761,432,-1325.96910763
263.059472302,10,16,6,0,1,0,0,S1 O6,263.059482955,-0.040497354,C10H16O6S,0,0,3,-3,-4,66,262.765737745,0.234262255,-0.2,0.6,1.6,0,0,-9999,Amino Sugar,Amino Sugar,Other,66,-145.755369783,0.114076155,0.093622929,660,-1457.553697827
295.031745192,10,16,6,0,2,0,0,S2 O6,295.03155413,0.647600843,C10H16O6S2,0,0,3,-3,-5,60.3,294.70231011,0.29768989,0,0.6,1.6,0,0,-9999,Amino Sugar,Amino Sugar,Other,60.3,-147.459985447,0.115696287,0.0946312,603,-1474.599854472
247.082397056,10,16,7,0,0,0,0,O7,247.0823264,0.28596164,C10H16O7,0,0,3,-4,-4,66,246.806502645,0.193497355,-0.2,0.7,1.6,0,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
275.088718957,10,16,7,2,0,0,0,N2 O7,275.088474409,0.88897744,C10H16O7N2,0,0,4,-3,-5,48.9,274.781552436,0.218447564,0.4,0.7,1.6,0.2,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,48.9,-126.896910763,0.118339131,0.108182685,489,-1268.96910763
214.108491438,10,17,4,1,0,0,0,N1 O4,214.108481578,0.046047731,C10H17O4N,0,0,3,-1,-2,77.4,213.869415983,0.130584017,-0.6,0.4,1.7,0.1,0,-9999,Protein,Protein,Other,77.4,-142.346138454,0.089549361,0.082629765,774,-1423.461384537
246.080411635,10,17,4,1,1,0,0,N1 S1 O4,246.080552753,-0.573462406,C10H17O4NS,0,0,3,-1,-3,71.7,245.805636049,0.194363951,-0.4,0.4,1.7,0.1,0,-9999,Protein,Protein,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
230.103412206,10,17,5,1,0,0,0,N1 O5,230.103396198,0.069567425,C10H17O5N,0,0,3,-2,-3,71.7,229.84647668,0.15352332,-0.4,0.5,1.7,0.1,0,-9999,Protein,Protein,Other,71.7,-140.055369783,0.097177236,0.089455086,717,-1400.553697827
247.074272998,10,17,5,0,0,1,0,P1 O5,247.074084192,0.764166112,C10H17O5P,0,0,3,-2,-3,94.5,246.798387657,0.201612343,-1.2,0.5,1.7,0,0.1,0,Protein,Protein,Lipid,94.5,-161.204597473,0.069838556,0.061477478,945,-1612.045974734
246.098445576,10,17,6,1,0,0,0,N1 O6,246.098310817,0.547579207,C10H17O6N,0,0,3,-3,-4,66,245.823649853,0.176350147,-0.2,0.6,1.7,0.1,0,-9999,Amino Sugar,Amino Sugar,Other,66,-137.764601112,0.114076155,0.10117382,660,-1377.646011116
263.069152687,10,17,6,0,0,1,0,P1 O6,263.068998811,0.584926234,C10H17O6P,0,0,3,-3,-4,88.8,262.775407321,0.224592679,-1,0.6,1.7,0,0.1,0,Amino Sugar,Amino Sugar,Lipid,88.8,-158.913828802,0.075936985,0.066790335,888,-1589.138288024
262.093470088,10,17,7,1,0,0,0,N1 O7,262.093225437,0.933449952,C10H17O7N,0,0,3,-4,-5,60.3,261.800814178,0.199185822,0,0.7,1.7,0.1,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,60.3,-135.473832441,0.115696287,0.100063795,603,-1354.738324406
307.070292107,10,17,7,2,0,1,0,N2 P1 O7,307.07006144,0.751188128,C10H17O7N2P,0,0,4,-3,-6,66,306.727414676,0.272585324,-0.2,0.7,1.7,0.2,0.1,2,Carbohydrate;Amino Sugar,Amino Sugar,Nucleotide,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
279.064038018,10,17,7,0,0,1,0,P1 O7,279.063913431,0.446445433,C10H17O7P,0,0,3,-4,-5,83.1,278.75243262,0.24756738,-0.8,0.7,1.7,0,0.1,0,Carbohydrate;Amino Sugar,Amino Sugar,Other,83.1,-156.623060131,0.082489679,0.072464688,831,-1566.230601313
278.088380829,10,17,8,1,0,0,0,N1 O8,278.088140057,0.865813069,C10H17O8N,0,0,3,-5,-6,54.6,277.777864859,0.222135141,0.2,0.8,1.7,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
295.058961927,10,17,8,0,0,1,0,P1 O8,295.058828051,0.453729477,C10H17O8P,0,0,3,-5,-6,77.4,294.729496455,0.270503545,-0.6,0.8,1.7,0,0.1,0,Carbohydrate,Carbohydrate,Carbohydrate,77.4,-154.33229146,0.089549361,0.078538732,774,-1543.322914603
294.083246853,10,17,9,1,0,0,0,N1 O9,294.083054676,0.653477494,C10H17O9N,0,0,3,-6,-7,48.9,293.754870872,0.245129128,0.4,0.9,1.7,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,48.9,-130.892295099,0.118339131,0.106087964,489,-1308.922950985
339.060106107,10,17,9,2,0,1,0,N2 P1 O9,339.059890679,0.635369393,C10H17O9N2P,0,0,4,-5,-8,54.6,338.681508564,0.318491436,0.2,0.9,1.7,0.2,0.1,2,Carbohydrate,Carbohydrate,Nucleotide,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
311.054040761,10,17,9,0,0,1,0,P1 O9,311.05374267,0.958327218,C10H17O9P,0,0,3,-6,-7,71.7,310.706715041,0.293284959,-0.4,0.9,1.7,0,0.1,0,Carbohydrate,Carbohydrate,Carbohydrate,71.7,-152.041522789,0.097177236,0.085056238,717,-1520.415227892
185.118357921,10,18,3,0,0,0,0,O3,185.118317987,0.215722582,C10H18O3,0,0.058823529,2,-1,-1,94.5,184.911653109,0.088346891,-1.2,0.3,1.8,0,0,-9999,Lipid;Protein,Lipid,Other,94.5,-153.213828802,0.069838556,0.06368837,945,-1532.138288024
