"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","34S"
"100","255.123745","255.123779276","255.12379729","1511015.6","-9999","541431.2","24.23","-1","-0.070608277","0.999095791","0","0.599457475","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"101","256.065716","256.065752209","256.065614496","672684.5","-9999","882204","9.67","-1","0.537803965","0.948872381","0.974453123","0.959104678","6","0.6","1.2","13C1 N2 O6","de-protonated","1","97","C9 H12 O6 N2 13C1","9","12","6","2","-9999","-9999","1","-9999","-9999"
"103","257.06656","257.066598262","257.066676336","1258871.4","-9999","593997","19.85","-1","-0.303709512","0.983402551","0","0.59004153","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"105","257.103053","257.103091337","257.103061845","2204956.3","-9999","501763.3","36.28","-1","0.114708579","0.997615335","0","0.598569201","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"107","257.139317","257.139355412","257.139447355","1226625.4","-9999","782818.9","19.21","-1","-0.357560936","0.977068827","0","0.586241296","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"108","257.139515","257.139553412","257.139447355","1520897.4","-9999","679508.8","24.3","-1","0.412450855","0.969604259","0","0.581762555","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"111","259.082293","259.082335398","259.0823264","1858790.8","-9999","542133.5","30.14","-1","0.034728597","0.999781183","0","0.59986871","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"114","259.118705","259.118747473","259.11871191","2293771.5","-9999","668852.7","37.66","-1","0.13724567","0.996587999","0","0.597952799","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"115","259.15513","259.155172547","259.155097419","662032.4","-9999","765610.4","9.44","-1","0.28989707","0.984866673","0","0.590920004","2","0.384615385","1.846153846","O5","de-protonated","0","-9999","C13 H24 O5","13","24","5","-9999","-9999","-9999","-9999","-9999","-9999"
"116","261.061533","261.061579459","261.061590955","914374.5","-9999","734794.6","13.74","-1","-0.044038632","0.99964816","0","0.599788896","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"118","261.097967","261.098013533","261.097976465","1275531.1","-9999","634823.5","19.96","-1","0.141972013","0.996349391","0","0.597809634","3","0.636363636","1.636363636","O7","de-protonated","0","-9999","C11 H18 O7","11","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"122","262.975915","262.975965386","262.975967805","7794932","-9999","548099.6","132.26","-1","-0.009195493","0.655415832","0.897085042","0.752083516","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999"
"124","263.979385","263.979437445","263.97932264","649580.6","-9999","724838.2","9.17","-1","0.434903482","0.644175225","0.897085042","0.745339152","9","0.083333333","0.75","13C1 S2 P1 O1","de-protonated","1","122","C11 H9 O1 P1 S2 13C1","11","9","1","-9999","1","2","1","-9999","-9999"
"124","263.979385","263.979437445","263.979458985","649580.6","-9999","724838.2","9.17","-1","-0.081597612","0.998792613","0","0.599275568","9","0.272727273","0.636363636","N1 S2 O3","de-protonated","0","-9999","C11 H7 O3 N1 S2","11","7","3","1","-9999","2","-9999","-9999","-9999"
"125","265.147861","265.147915842","265.147904038","3758070","-9999","627061.4","62.45","-1","0.04451902","0.999640444","0","0.599784266","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999"
"129","267.087329","267.087387822","267.087411781","631411","-9999","616862.4","8.82","-1","-0.089705333","0.998540939","0","0.599124564","6","0.461538462","1.230769231","O6","de-protonated","0","-9999","C13 H16 O6","13","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"130","267.123826","267.123884896","267.12379729","648983.1","-9999","624235","9.12","-1","0.327961662","0.9806728","0","0.58840368","5","0.357142857","1.428571429","O5","de-protonated","0","-9999","C14 H20 O5","14","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"131","267.160064","267.160122971","267.160182799","562427.1","-9999","529693.4","7.63","-1","-0.223942941","0.990941546","0","0.594564927","4","0.266666667","1.6","O4","de-protonated","0","-9999","C15 H24 O4","15","24","4","-9999","-9999","-9999","-9999","-9999","-9999"
"133","268.982927","268.982989711","268.983161185","1292450.8","-9999","682494.7","20.06","-1","-0.63749155","0.928913249","0","0.55734795","12","0.142857143","0.5","S1 P1 O2","de-protonated","0","-9999","C14 H7 O2 P1 S1","14","7","2","-9999","1","1","-9999","-9999","-9999"
"135","269.103009","269.103071957","269.103061845","1732527.6","-9999","645729.8","27.58","-1","0.037576259","0.999743832","0","0.599846299","5","0.461538462","1.384615385","O6","de-protonated","0","-9999","C13 H18 O6","13","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"137","269.131137","269.131200015","269.131205146","6375858.5","-9999","595807.2","106.88","-1","-0.019066032","0.999889282","0.992765374","0.997039719","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999","-9999"
"140","269.139359","269.139422032","269.139447355","4389811.5","-9999","592567.3","72.96","-1","-0.094088345","0.996785628","0.997582677","0.997104448","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"141","270.134487","270.134552073","270.134559981","1027101.1","-9999","668471.6","15.53","-1","-0.029273523","0.999844522","0.992765374","0.997012862","4","0.214285714","1.642857143","13C1 P1 O3","de-protonated","1","137","C13 H23 O3 P1 13C1","13","23","3","-9999","1","-9999","1","-9999","-9999"
"141","270.134487","270.134552073","270.134696327","1027101.1","-9999","668471.6","15.53","-1","-0.534005488","0.949573593","0","0.569744156","4","0.384615385","1.615384615","N1 O5","de-protonated","0","-9999","C13 H21 O5 N1","13","21","5","1","-9999","-9999","-9999","-9999","-9999"
"142","270.134769","270.134834074","270.134696327","697693.1","-9999","940601.2","9.9","-1","0.509920311","0.953915624","0","0.572349374","4","0.384615385","1.615384615","N1 O5","de-protonated","0","-9999","C13 H21 O5 N1","13","21","5","1","-9999","-9999","-9999","-9999","-9999"
"143","270.142693","270.14275809","270.14280219","678813.9","-9999","680779.6","9.58","-1","-0.163244935","0.995176262","0.997582677","0.996138828","4","0.357142857","1.571428571","13C1 O5","de-protonated","1","140","C13 H22 O5 13C1","13","22","5","-9999","-9999","-9999","1","-9999","-9999"
"147","271.082222","271.082289018","271.0823264","2296703.8","-9999","618784.2","37.21","-1","-0.137901022","0.996555393","0","0.597933236","5","0.583333333","1.333333333","O7","de-protonated","0","-9999","C12 H16 O7","12","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"149","271.118581","271.118648092","271.11871191","2564739.5","-9999","584806.1","41.79","-1","-0.235385019","0.989997001","0","0.5939982","4","0.461538462","1.538461538","O6","de-protonated","0","-9999","C13 H20 O6","13","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"150","271.155064","271.155131167","271.155097419","1317895.1","-9999","640180.2","20.49","-1","0.124460938","0.997193211","0","0.598315927","3","0.357142857","1.714285714","O5","de-protonated","0","-9999","C14 H24 O5","14","24","5","-9999","-9999","-9999","-9999","-9999","-9999"
"153","273.061549","273.061620079","273.061590955","721079.8","-9999","557849.3","10.25","-1","0.106654647","0.997938111","0","0.598762867","5","0.727272727","1.272727273","O8","de-protonated","0","-9999","C11 H14 O8","11","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"155","273.097913","273.097984153","273.097976465","3164491.5","-9999","563027.8","51.79","-1","0.028153063","0.999856195","0","0.599913717","4","0.583333333","1.5","O7","de-protonated","0","-9999","C12 H18 O7","12","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"157","273.134269","273.134340228","273.134361974","3072335","-9999","546703.1","50.23","-1","-0.07961728","0.998850474","0","0.599310284","3","0.461538462","1.692307692","O6","de-protonated","0","-9999","C13 H22 O6","13","22","6","-9999","-9999","-9999","-9999","-9999","-9999"
"159","273.170604","273.170675302","273.170747484","554706.6","-9999","909563.9","7.42","-1","-0.264234066","0.987411228","0","0.592446737","2","0.357142857","1.857142857","O5","de-protonated","0","-9999","C14 H26 O5","14","26","5","-9999","-9999","-9999","-9999","-9999","-9999"
"162","275.077214","275.077289214","275.07724102","1104139.9","-9999","727195.5","16.76","-1","0.175202821","0.994445728","0","0.596667437","4","0.727272727","1.454545455","O8","de-protonated","0","-9999","C11 H16 O8","11","16","8","-9999","-9999","-9999","-9999","-9999","-9999"
"164","275.113527","275.113602289","275.113626529","1389071.4","-9999","452427.7","21.61","-1","-0.088111008","0.998592306","0","0.599155383","3","0.583333333","1.666666667","O7","de-protonated","0","-9999","C12 H20 O7","12","20","7","-9999","-9999","-9999","-9999","-9999","-9999"
"165","275.149925","275.150000363","275.150012039","786258.8","-9999","482731.2","11.36","-1","-0.042432171","0.999673357","0","0.599804014","2","0.461538462","1.846153846","O6","de-protonated","0","-9999","C13 H24 O6","13","24","6","-9999","-9999","-9999","-9999","-9999","-9999"
