Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
319,225.040745,225.040548323,225.040461587,3931393.3,-9999,473866,30.37,-1,0.385423725,0.973405565,0,0.584043339,6,0.6,1,O6,de-protonated,0,-9999,C10 H10 O6,10,10,6,-9999,-9999,-9999,-9999,-9999
320,225.077121,225.076924387,225.076847097,1798914.9,-9999,509193,12.53,-1,0.343395929,0.978830715,0,0.587298429,5,0.454545455,1.272727273,O5,de-protonated,0,-9999,C11 H14 O5,11,14,5,-9999,-9999,-9999,-9999,-9999
321,225.11354,225.113343451,225.113232606,1522436.6,-9999,453191.3,10.21,-1,0.492397036,0.956960549,0,0.574176329,4,0.333333333,1.5,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999
322,225.149901,225.149704515,225.149618115,1192966.3,-9999,597850.8,7.46,-1,0.383743054,0.973633915,0,0.584180349,3,0.230769231,1.692307692,O3,de-protonated,0,-9999,C13 H22 O3,13,22,3,-9999,-9999,-9999,-9999,-9999
324,227.056392,227.056198864,227.056111652,2139503.5,-9999,459747.4,15.38,-1,0.38409761,0.97358582,0,0.584151492,5,0.6,1.2,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,-9999
325,227.092777,227.092583927,227.092497161,3541874,-9999,469788.3,27.11,-1,0.382074559,0.973859677,0,0.584315806,4,0.454545455,1.454545455,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999
326,227.104002,227.103808947,227.10373055,2488178.8,-9999,461434.7,18.29,-1,0.345202128,0.978609841,0,0.587165905,4,0.4,1.6,N2 O4,de-protonated,0,-9999,C10 H16 O4 N2,10,16,4,2,-9999,-9999,-9999,-9999
327,227.129155,227.128961991,227.128882671,4805492.5,-9999,436480.9,37.68,-1,0.349232596,0.978112975,0,0.586867785,3,0.333333333,1.666666667,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999
328,227.140388,227.140195011,227.14011606,8144757,-9999,449290.4,65.62,-1,0.347588308,0.978316345,0,0.586989807,3,0.272727273,1.818181818,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,-9999
329,228.124469,228.12427774,228.124131643,1741625,-9999,401634.5,12.05,-1,0.640426575,0.92828128,0,0.556968768,3,0.363636364,1.727272727,N1 O4,de-protonated,0,-9999,C11 H19 O4 N1,11,19,4,1,-9999,-9999,-9999,-9999
330,228.160826,228.160634803,228.160517152,2219707.8,-9999,458269.2,16.05,-1,0.515651281,0.952898846,0,0.571739307,2,0.25,1.916666667,N1 O3,de-protonated,0,-9999,C12 H23 O3 N1,12,23,3,1,-9999,-9999,-9999,-9999
331,229.035697,229.03550734,229.035376207,1406848.4,-9999,375904.3,9.19,-1,0.572544769,0.94225415,0,0.56535249,5,0.777777778,1.111111111,O7,de-protonated,0,-9999,C9 H10 O7,9,10,7,-9999,-9999,-9999,-9999,-9999
332,229.072059,229.071869404,229.071761716,2764803.5,-9999,430351.2,20.48,-1,0.470103871,0.960693621,0,0.576416173,4,0.6,1.4,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,-9999
333,229.108434,229.108244468,229.108147226,3393542.5,-9999,441598.7,25.71,-1,0.424437373,0.967841009,0,0.580704606,3,0.454545455,1.636363636,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,-9999
334,229.14482,229.144630532,229.144532735,12467210,-9999,456821.3,101.18,-1,0.426790099,0.941902853,0.987580629,0.960173964,2,0.333333333,1.833333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,-9999
335,229.156037,229.155847551,229.155766124,14617610,-9999,431300.6,119.07,-1,0.355334847,0.97663586,0.996926721,0.984752205,2,0.272727273,2,N2 O3,de-protonated,0,-9999,C11 H22 O3 N2,11,22,3,2,-9999,-9999,-9999,-9999
336,229.181242,229.181052596,229.180918244,1396108.6,-9999,448824.4,9.1,-1,0.586223494,0.939548076,0,0.563728845,1,0.230769231,2,O3,de-protonated,0,-9999,C13 H26 O3,13,26,3,-9999,-9999,-9999,-9999,-9999
337,230.103699,230.103511216,230.103396198,1815647.3,-9999,586275.3,12.59,-1,0.49985321,0.95567676,0,0.573406056,3,0.5,1.7,N1 O5,de-protonated,0,-9999,C10 H17 O5 N1,10,17,5,1,-9999,-9999,-9999,-9999
338,230.148235,230.148047294,230.14788757,1423203.4,-9999,555556.6,9.32,-1,0.694005602,0.916316335,0.987580629,0.944822053,2,0.333333333,1.833333333,13C1 O4,de-protonated,1,334,C11 H22 O4 13C1,11,22,4,-9999,-9999,-9999,1,-9999
339,230.159393,230.159205314,230.159120959,1683044.5,-9999,414984.8,11.49,-1,0.366503967,0.975921503,0.996926721,0.98432359,2,0.272727273,2,13C1 N2 O3,de-protonated,1,335,C10 H22 O3 N2 13C1,10,22,3,2,-9999,-9999,1,-9999
340,231.051302,231.05111588,231.051026271,1657277.9,-9999,473959.4,11.27,-1,0.387830824,0.973076871,0,0.583846123,4,0.777777778,1.333333333,O7,de-protonated,0,-9999,C9 H12 O7,9,12,7,-9999,-9999,-9999,-9999,-9999
341,231.058224,231.058037892,231.058040204,1145598.6,-9999,322089.1,7.01,-1,-0.010005852,0.999981834,0,0.5999891,8,0.153846154,1,P1 O2,de-protonated,0,-9999,C13 H13 O2 P1,13,13,2,-9999,1,-9999,-9999,-9999
342,231.08768800000001,231.087501944,231.087411781,2830529.8,-9999,429348.1,21.03,-1,0.390169532,0.972755664,0,0.583653398,3,0.6,1.6,O6,de-protonated,0,-9999,C10 H16 O6,10,16,6,-9999,-9999,-9999,-9999,-9999
343,231.124091,231.123905008,231.12379729,2122949.5,-9999,452706.2,15.14,-1,0.466061289,0.961353553,0,0.576812132,2,0.454545455,1.818181818,O5,de-protonated,0,-9999,C11 H20 O5,11,20,5,-9999,-9999,-9999,-9999,-9999
