Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
372,223.024976,223.02485136,223.024811523,4223764,-9999,474749,32.86,-1,0.178621597,0.994227483,0,0.59653649,7,0.6,0.8,O6,de-protonated,0,-9999,C10 H8 O6,10,8,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
373,223.061343,223.061218347,223.061197032,2392343,-9999,505737.1,17.51,-1,0.095557389,0.998344525,0,0.599006715,6,0.454545455,1.090909091,O5,de-protonated,0,-9999,C11 H12 O5,11,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
374,223.0744,223.074275343,223.074084192,1190168,-9999,531908.3,7.43,-1,0.856895007,0.875261872,0,0.525157123,1,0.625,2.125,P1 O5,de-protonated,0,-9999,C8 H17 O5 P1,8,17,5,-9999,1,-9999,-9999,-9999,-9999,-9999
375,225.004227,225.004101677,225.004076078,2894259.5,-9999,474806.6,21.65,-1,0.113770342,0.99765414,0,0.598592484,7,0.777777778,0.666666667,O7,de-protonated,0,-9999,C9 H6 O7,9,6,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
376,225.040631,225.040505664,225.040461587,2078646.5,-9999,518064.7,14.83,-1,0.195862004,0.993063449,0,0.595838069,6,0.6,1,O6,de-protonated,0,-9999,C10 H10 O6,10,10,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
377,225.077012,225.076886652,225.076847097,2218681.5,-9999,471573.7,16,-1,0.175739838,0.994411723,0,0.596647034,5,0.454545455,1.272727273,O5,de-protonated,0,-9999,C11 H14 O5,11,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
378,225.113386,225.113260639,225.113232606,1144764.8,-9999,625684.4,7.03,-1,0.124528726,0.997190157,0,0.598314094,4,0.333333333,1.5,O4,de-protonated,0,-9999,C12 H18 O4,12,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
381,227.056308,227.056181969,227.056111652,1846379.6,-9999,506829.4,12.89,-1,0.309688629,0.982748336,0,0.589649002,5,0.6,1.2,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
382,227.092679,227.092552956,227.092497161,3023983,-9999,459432.6,22.73,-1,0.245691923,0.989106703,0,0.593464022,4,0.454545455,1.454545455,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
383,227.103968,227.103841952,227.10373055,1427568.1,-9999,557662.3,9.39,-1,0.490531818,0.957278948,0,0.574367369,4,0.4,1.6,N2 O4,de-protonated,0,-9999,C10 H16 O4 N2,10,16,4,2,-9999,-9999,-9999,-9999,-9999,-9999
384,227.129098,227.128971943,227.128882671,4431474.5,-9999,486632.1,34.5,-1,0.393049405,0.972357626,0,0.583414575,3,0.333333333,1.666666667,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
385,227.140301,227.14017494,227.14011606,6398067.5,-9999,473195.3,50.94,-1,0.259222001,0.987881395,0,0.592728837,3,0.272727273,1.818181818,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,-9999,-9999,-9999
386,228.124273,228.1241466,228.124131643,1452244.5,-9999,425100.5,9.59,-1,0.065565984,0.999220275,0,0.599532165,3,0.363636364,1.727272727,N1 O4,de-protonated,0,-9999,C11 H19 O4 N1,11,19,4,1,-9999,-9999,-9999,-9999,-9999,-9999
387,228.1607,228.160573587,228.160517152,1413848.3,-9999,531279.6,9.27,-1,0.247348932,0.98896009,0,0.593376054,2,0.25,1.916666667,N1 O3,de-protonated,0,-9999,C12 H23 O3 N1,12,23,3,1,-9999,-9999,-9999,-9999,-9999,-9999
390,229.071913,229.071786273,229.071761716,2111543.5,-9999,530071.5,15.02,-1,0.10720021,0.997916985,0,0.598750191,4,0.6,1.4,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
391,229.108334,229.10820726,229.108147226,2548027.3,-9999,425187.5,18.64,-1,0.262036164,0.987618487,0,0.592571092,3,0.454545455,1.636363636,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
