Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
357,227.056274,227.056210662,227.056111652,1299882.4,-9999,414342.4,8.33,-1,0.436062149,0.966085921,0,0.579651553,5,0.6,1.2,O6,de-protonated,0,-9999,C10 H12 O6,10,12,6,-9999,-9999,-9999,-9999,-9999,-9999
358,227.092689,227.092625644,227.092497161,3090605,-9999,439519.2,23.29,-1,0.565773359,0.943572918,0,0.566143751,4,0.454545455,1.454545455,O5,de-protonated,0,-9999,C11 H16 O5,11,16,5,-9999,-9999,-9999,-9999,-9999,-9999
359,227.129058,227.128994626,227.128882671,4532399.5,-9999,474722.2,35.34,-1,0.492914928,0.956871947,0,0.574123168,3,0.333333333,1.666666667,O4,de-protonated,0,-9999,C12 H20 O4,12,20,4,-9999,-9999,-9999,-9999,-9999,-9999
360,227.140282,227.14021862,227.14011606,4388016.5,-9999,469876.2,34.13,-1,0.451528666,0.963682476,0,0.578209486,3,0.272727273,1.818181818,N2 O3,de-protonated,0,-9999,C11 H20 O3 N2,11,20,3,2,-9999,-9999,-9999,-9999,-9999
363,228.160702,228.160638106,228.160517152,4219136.5,-9999,444581.1,32.72,-1,0.53012703,0.95028497,0,0.570170982,2,0.25,1.916666667,N1 O3,de-protonated,0,-9999,C12 H23 O3 N1,12,23,3,1,-9999,-9999,-9999,-9999,-9999
366,229.072001,229.071936647,229.071761716,2435665,-9999,430116.5,17.72,-1,0.763650879,0.899591867,0,0.53975512,4,0.6,1.4,O6,de-protonated,0,-9999,C10 H14 O6,10,14,6,-9999,-9999,-9999,-9999,-9999,-9999
367,229.108312,229.108247629,229.108147226,2834772.3,-9999,466627.3,21.04,-1,0.43823502,0.965752964,0,0.579451779,3,0.454545455,1.636363636,O5,de-protonated,0,-9999,C11 H18 O5,11,18,5,-9999,-9999,-9999,-9999,-9999,-9999
368,229.144713,229.144648611,229.144532735,6937943.5,-9999,453448.6,55.14,-1,0.505687515,0.95465999,0,0.572795994,2,0.333333333,1.833333333,O4,de-protonated,0,-9999,C12 H22 O4,12,22,4,-9999,-9999,-9999,-9999,-9999,-9999
369,229.155949,229.155884605,229.155766124,5722456.5,-9999,457076.6,45.04,-1,0.51703076,0.952652567,0,0.57159154,2,0.272727273,2,N2 O3,de-protonated,0,-9999,C11 H22 O3 N2,11,22,3,2,-9999,-9999,-9999,-9999,-9999
372,231.087576,231.087510632,231.087411781,1536418.3,-9999,407837.5,10.25,-1,0.427765425,0.967343067,0,0.58040584,3,0.6,1.6,O6,de-protonated,0,-9999,C10 H16 O6,10,16,6,-9999,-9999,-9999,-9999,-9999,-9999
373,231.123968,231.123902614,231.12379729,2498598.5,-9999,451847,18.24,-1,0.455701778,0.963020692,0,0.577812415,2,0.454545455,1.818181818,O5,de-protonated,0,-9999,C11 H20 O5,11,20,5,-9999,-9999,-9999,-9999,-9999,-9999
374,231.135192,231.135126608,231.135030679,2293287.8,-9999,437098.3,16.54,-1,0.415032641,0.96922847,0,0.581537082,2,0.4,2,N2 O4,de-protonated,0,-9999,C10 H20 O4 N2,10,20,4,2,-9999,-9999,-9999,-9999,-9999
379,233.103231,233.103164617,233.103061845,1281315.3,-9999,595076.8,8.12,-1,0.440884459,0.965344899,0,0.579206939,2,0.6,1.8,O6,de-protonated,0,-9999,C10 H18 O6,10,18,6,-9999,-9999,-9999,-9999,-9999,-9999
380,233.154874,233.154807591,233.154703496,5814058.5,-9999,454367.3,45.8,-1,0.446462648,0.96447828,0,0.578686968,5,0.133333333,1.466666667,O2,de-protonated,0,-9999,C15 H22 O2,15,22,2,-9999,-9999,-9999,-9999,-9999,-9999
383,235.025015,235.024947649,235.024811523,2400581.3,-9999,464302.3,17.32,-1,0.579197869,0.94094497,0,0.564566982,8,0.545454545,0.727272727,O6,de-protonated,0,-9999,C11 H8 O6,11,8,6,-9999,-9999,-9999,-9999,-9999,-9999
384,235.061413,235.06134563,235.061197032,2457419,-9999,418885.6,17.79,-1,0.632168087,0.930053176,0,0.558031905,7,0.416666667,1,O5,de-protonated,0,-9999,C12 H12 O5,12,12,5,-9999,-9999,-9999,-9999,-9999,-9999
385,235.097726,235.097658612,235.097582542,1275985,-9999,544142.6,8.03,-1,0.323570096,0.981182067,0,0.58870924,6,0.307692308,1.230769231,O4,de-protonated,0,-9999,C13 H16 O4,13,16,4,-9999,-9999,-9999,-9999,-9999,-9999
386,235.108991,235.108923607,235.108815931,1290834.9,-9999,551700,8.15,-1,0.457981906,0.962656725,0,0.577594035,6,0.25,1.333333333,N2 O3,de-protonated,0,-9999,C12 H16 O3 N2,12,16,3,2,-9999,-9999,-9999,-9999,-9999
387,236.105587,236.105519105,236.105718673,9114875,-9999,448246.8,72.79,-1,-0.845252094,0.878414928,0,0.527048957,1,0.444444444,2.222222222,N1 P1 O4,de-protonated,0,-9999,C9 H20 O4 N1 P1,9,20,4,1,1,-9999,-9999,-9999,-9999
390,237.040677,237.040608634,237.040461587,2050721.8,-9999,531102.8,14.43,-1,0.620342105,0.932556193,0,0.559533716,7,0.545454545,0.909090909,O6,de-protonated,0,-9999,C11 H10 O6,11,10,6,-9999,-9999,-9999,-9999,-9999,-9999
391,237.077003,237.076934615,237.076847097,1614504.5,-9999,439841,10.82,-1,0.369156809,0.975575977,0,0.585345586,6,0.416666667,1.166666667,O5,de-protonated,0,-9999,C12 H14 O5,12,14,5,-9999,-9999,-9999,-9999,-9999,-9999
