Calibrated m/z,HJW_MQ_Blk-1_p05,HJW_MQ_Blk-2_p05
661.177462804735,6129887,2223552.8
549.260730717281,1382323.4,1152034.6
605.307621733812,2150970,1878445.5
589.312849122492,1758682,1517011
497.150801365197,1572718.9,1944057
483.153562350842,2029256.5,2002190.6
489.218565060894,1370397.1,958602.9
493.249880787088,4567624,2741447.3
519.305221578154,2155391.8,983552.1
564.975800324013,12625211,6009335.5
817.037540104457,5767082,15794952
817.067776198019,70029248,174105376
557.443716943026,1254123.4,1238904.6
697.375236803325,3427665,5209157.5
788.968101546855,6901831,2492517.8
815.058192982991,50350292,174627968
855.233029101375,2788354.3,3064045.5
741.401248017874,3155873.5,3658869
579.108673696085,3787162.5,1730796.9
565.129605322115,8930716,6752858
581.124474283307,2111242.3,1391225.3
565.437072488193,1407584.3,1243424.1
564.583473412084,3105858.5,6578428
587.050973759803,1371501.8,1080636.9
511.134450852843,1675425.3,1058094.9
715.214492297292,15512570,7112297.5
796.41611700632,2759858.8,4475362
794.418897480475,2650161.3,5650597
661.051424372333,91189320,187331888
620.544295975426,1679814.8,2462504.3
867.2582854899,2697914.5,2345914.3
863.235135378913,5171894.5,4149797
818.484152513885,3245198.3,4302746.5
671.265310392633,17351070,24593908
925.26302009008,7336426,2958302.3
971.089720663808,53632680,159740912
973.067887419243,8993127,30600818
975.083494472258,3687442.8,11024583
971.094103874455,117137056,389772256
971.047765646287,3557058.5,10765329
863.239821379042,12843704,12603942
163.016538439742,792058.6,2481219
272.027039889756,1147751.5,665355.8
185.081977271086,1759307.4,1463770.8
303.002487189831,3246203.3,5800446
