Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
577.264403986,C24H43O10N4P1,C24H43O10N4P,C24H43O10N4P1,C24H43O10N4P,FALSE,FALSE
521.25239735,C24H43O10P1,C24H43O10P,C24H43O10P1,C24H43O10P,FALSE,FALSE
553.22458733,C24H43O10P1S1,C24H43O10SP,C24H43O10P1S1,C24H43O10SP,FALSE,FALSE
593.259642597,C24H43O11N4P1,C24H43O11N4P,C24H43O11N4P1,C24H43O11N4P,FALSE,FALSE
537.247350629,C24H43O11P1,C24H43O11P,C24H43O11P1,C24H43O11P,FALSE,FALSE
569.219240917,C24H43O11P1S1,C24H43O11SP,C24H43O11P1S1,C24H43O11SP,FALSE,FALSE
553.242043738,C24H43O12P1,C24H43O12P,C24H43O12P1,C24H43O12P,FALSE,FALSE
625.249604651,C24H43O13N4P1,C24H43O13N4P,C24H43O13N4P1,C24H43O13N4P,FALSE,FALSE
569.237173833,C24H43O13P1,C24H43O13P,C24H43O13P1,C24H43O13P,FALSE,FALSE
601.209343808,C24H43O13P1S1,C24H43O13SP,C24H43O13P1S1,C24H43O13SP,FALSE,FALSE
641.244485467,C24H43O14N4P1,C24H43O14N4P,C24H43O14N4P1,C24H43O14N4P,FALSE,FALSE
585.231824632,C24H43O14P1,C24H43O14P,C24H43O14P1,C24H43O14P,FALSE,FALSE
617.20386097,C24H43O14P1S1,C24H43O14SP,C24H43O14P1S1,C24H43O14SP,FALSE,FALSE
629.233032969,C24H43O15N2P1,C24H43O15N2P,C24H43O15N2P1,C24H43O15N2P,FALSE,FALSE
657.239548284,C24H43O15N4P1,C24H43O15N4P,C24H43O15N4P1,C24H43O15N4P,FALSE,FALSE
645.228097368,C24H43O16N2P1,C24H43O16N2P,C24H43O16N2P1,C24H43O16N2P,FALSE,FALSE
661.223309768,C24H43O17N2P1,C24H43O17N2P,C24H43O17N2P1,C24H43O17N2P,FALSE,FALSE
