Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
Error_ppm,parts per million,Parts per million error calculated as [expected molecular mass - measured molecular mass]/expected molecular mass * 1e6).,numeric,column_header,-9999,0.000000001
Error_Score,N/A,Value (0-1) given by CoreMS to the individual peaks that determines whether the error was acceptable with 1 being acceptable.,numeric,column_header,-9999,0.00000001
Extractable_NPOC_mg_per_kg,milligrams per kilogram,"Dissolved organic carbon (DOC) measured as non-purgeable organic carbon (NPOC) and reported as carbon in milligrams per kilogram. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
Extractable_NPOC_mg_per_L,milligrams per liter,"Dissolved organic carbon (DOC) measured as non-purgeable organic carbon (NPOC) and reported as carbon in milligrams per liter. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
Extractable_TN_mg_per_kg,milligrams per kilogram,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen in milligrams per kilogram. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
Extractable_TN_mg_per_L,milligrams per liter,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen in milligrams per liter. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,-9999,0.01
Field_Crew,N/A,Names of field team members involved in data collection.,text,column_header,N/A,-9999
Field_Name,N/A,Name of field of header rows before data.,text,column_header,N/A,-9999
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header,N/A,-9999
Field_Program_Cruise,N/A,Name of field program or cruise registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header,N/A,-9999
File_Description,N/A,A brief description of the files in the data package.,text,column_header,N/A,-9999
File_Name,N/A,Name of files in the data package.,text,column_header,N/A,-9999
File_Path,N/A,File path within the data package.,text,column_header,N/A,-9999
FTICR-MS,N/A,"Methods information and data from Fourier transform ion cyclotron resonance mass spectrometry (FTICR-MS). Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",text,column_header,N/A,-9999
General_Vegetation,N/A,"General vegetation type from provided controlled vocabulary during sampling. One (with the option to select up to 2 if mixed) of the following classes from the provided controlled vocabulary may be selected: Needleleaf evergreen tree, Needleleaf deciduous tree, Broadleaf evergreen tree, Broadleaf deciduous tree, Shrub, Grass, Crop, Not vegetated.",text,column_header,N/A,-9999
GFE,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction under standard conditions. Calculated as per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.00000001
H,N/A,Hydrogen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Header_Rows,N/A,"The number of rows or the number of columns that occur before the start of tabular data. This count assumes the numbering begins at 1 (rather than 0), excludes columns or rows that begin with ""#"", and includes the column or row that the header names are on. For example, if the file has columns with variable names but does not have any other metadata header rows, then this value is 1. Most data in this data package is oriented in columns, so this field indicates the number of rows before the start of the data (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 2 - to indicate the count of the rows prior to the data values).",numeric,column_header,-9999,1
Heteroatom_Class,N/A,"The type of heteroatoms (e.g., oxygen, nitrogen, sulfur, phosphorous) in a formula.",text,column_header,N/A,-9999
HJW_*,N/A,Sample name with rows representing peak intensities reflected as presence absence.,numeric,column_header,-9999,0.1
HtoC_ratio,N/A,Hydrogen to carbon ratio.,numeric,column_header,-9999,0.0000001
Hydrogeomorphology,N/A,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,text,column_header,N/A,-9999
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).,text,column_header,N/A,-9999
Index,N/A,Index of peak.,numeric,column_header,-9999,1
Intermittent_or_Perennial,N/A,Indicator of if the stream is intermittent or perennial.,text,column_header,N/A,-9999
Ion_Charge,N/A,Charge of the ion. This value is -1 for all  samples because we run our samples using electrospray ionization in the negative mode.,numeric,column_header,-9999,1
Ion_Type,N/A,"Indicates whether a formula was assigned from a given ionization category. This is always ""de-protonated"" because we run our samples using electrospray ionization in the negative mode.",text,column_header,N/A,-9999
Is_Isotopologue,N/A,Indicates whether a formula contains different isotopes of the same atom with 0 indicating it is not an isotopologue and 1 indicating that it is an isotopologue.,numeric,column_header,-9999,1
Isotopologue_Similarity,N/A,Value (0-1) given by CoreMS to evaluate whether an isotopologue matches the mono-isotopic version of the formula with 1 being the closest match.,numeric,column_header,-9999,0.0000001
Join_By_Field,N/A,"Field in the specified file that can be used to join with other files. If the join field is Parent_ID or Sample_Name, see the readme for details on sample naming conventions.",text,column_header,N/A,-9999
kdefect.CH2,N/A,"Kendrick Defect = Nominal Kendrick Mass - Kendrick Mass; Hughey et al., 2001.",numeric,column_header,-9999,0.000000001
kmass.CH2,N/A,"(IUPACmass)(14/14.01565); where IUPAC mass is based on the 12C atomic mass as exactly 12 Da. Hughey et al., 2001.",numeric,column_header,-9999,0.0001
lamO2,N/A,Thermodynamic efficiency (defined by lambda) at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.000000001
lamO20,N/A,Thermodynamic efficiency (defined by lambda) at standard state (pH = 0). Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.000000001
Latitude,decimal degrees WGS84,Geographic location (latitude).,numeric,column_header,-9999,0.00001
Locality,N/A,Name of field site where sample was collected.,text,column_header,N/A,-9999
Locality_Description,N/A,Description of the locality.,text,column_header,N/A,-9999
Longitude,decimal degrees WGS84,Geographic location (longitude).,numeric,column_header,-9999,0.0001
Macrophyte_Coverage,N/A,Estimated macrophyte cover in the river. One of the following classes may be selected: full; partial; or no coverage.,text,column_header,N/A,-9999
Mass,mass to charge ratio,Measured ionic mass. The units of mass to charge ration is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc). Uses a controlled vocabulary from IGSN SESAR (https://www.geosamples.org/).,text,column_header,N/A,-9999
