Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
257.06968567,10,15,4,2,0,1,0,N2 P1 O4,257.069667517,0.070614404,C10H15O4N2P,0,0,5,1,-2,77.4,256.782639362,0.217360638,-0.6,0.4,1.5,0.2,0.1,2,Protein,Protein,Protein,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
256.093895144,10,15,5,3,0,0,0,N3 O5,256.093894142,0.003910002,C10H15O5N3,0,0,5,0,-3,48.9,255.807938412,0.192061588,0.4,0.5,1.5,0.3,0,-9999,Protein,Protein,Protein,48.9,-122.901526427,0.118339131,0.110317176,489,-1229.015264275
305.054598783,10,15,7,2,0,1,0,N2 P1 O7,305.054411375,0.614341795,C10H15O7N2P,0,0,5,-2,-5,60.3,304.713972093,0.286027907,0,0.7,1.5,0.2,0.1,2,Carbohydrate;Amino Sugar,Amino Sugar,Nucleotide,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
276.072490307,10,15,8,1,0,0,0,N1 O8,276.072489992,0.0011406,C10H15O8N,0,0,4,-4,-5,48.9,275.764225298,0.235774702,0.4,0.8,1.5,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,48.9,-130.892295099,0.118339131,0.106087964,489,-1308.922950985
353.02161291,10,15,8,2,1,1,0,N2 S1 P1 O8,353.021397169,0.611124977,C10H15O8N2SP,0,0,5,-3,-7,48.9,352.627425823,0.372574177,0.4,0.8,1.5,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,48.9,-138.88306377,0.118339131,0.102013469,489,-1388.830637695
292.067672074,10,15,9,1,0,0,0,N1 O9,292.067404612,0.91575668,C10H15O9N,0,0,4,-5,-6,43.2,291.741546703,0.258453297,0.6,0.9,1.5,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,43.2,-128.601526427,0.12331573,0.109463197,432,-1286.015264275
324.03965804,10,15,9,1,1,0,0,N1 S1 O9,324.039475786,0.562442993,C10H15O9NS,0,0,4,-5,-7,37.5,323.677832463,0.322167537,0.8,0.9,1.5,0.1,0,-9999,Carbohydrate,Carbohydrate,Other,37.5,-130.306142092,0.128690679,0.110497871,375,-1303.061420919
215.05682057,10,16,1,0,2,0,0,S2 O1,215.056981032,-0.746134901,C10H16OS2,0,0.066666667,3,2,0,88.8,214.816686203,0.183313797,-1,0.1,1.6,0,0,-9999,Lipid,Lipid;Unsat Hydrocarbon,Other,88.8,-158.913828802,0.075936985,0.066790335,888,-1589.138288024
199.097565329,10,16,4,0,0,0,0,O4,199.097582542,-0.086452455,C10H16O4,0,0.125,3,-1,-1,83.1,198.875251209,0.124748791,-0.8,0.4,1.6,0,0,-9999,Protein,Protein,Other,83.1,-148.63229146,0.082489679,0.074989033,831,-1486.322914603
227.10359223,10,16,4,2,0,0,0,N2 O4,227.10373055,-0.609062905,C10H16O4N2,0,0,4,0,-2,66,226.85000633,0.14999367,-0.2,0.4,1.6,0.2,0,-9999,Protein,Protein,Protein,66,-133.769216776,0.114076155,0.106502072,660,-1337.692167761
215.092600278,10,16,5,0,0,0,0,O5,215.092497161,0.479406081,C10H16O5,0,0.066666667,3,-2,-2,77.4,214.852425959,0.147574041,-0.6,0.5,1.6,0,0,-9999,Protein,Protein,Other,77.4,-146.341522789,0.089549361,0.081245414,774,-1463.415227892
247.06432978,10,16,5,0,1,0,0,S1 O5,247.064568336,-0.965561375,C10H16O5S,0,0,3,-2,-3,71.7,246.788455542,0.211544458,-0.4,0.5,1.6,0,0,-9999,Protein,Protein,Other,71.7,-148.046138454,0.097177236,0.086499647,717,-1480.461384537
320.065508644,10,16,7,3,0,1,0,N3 P1 O7,320.065310412,0.619349352,C10H16O7N3P,0,0,5,-2,-6,54.6,319.708120638,0.291879362,0.2,0.7,1.6,0.3,0.1,3,Carbohydrate;Amino Sugar,Amino Sugar,Nucleotide,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
279.054468962,10,16,7,0,1,0,0,S1 O7,279.054397575,0.255816891,C10H16O7S,0,0,3,-4,-5,60.3,278.742874249,0.257125751,0,0.7,1.6,0,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,60.3,-143.464601112,0.115696287,0.09631196,603,-1434.646011116
323.055540985,10,16,8,2,1,0,0,N2 S1 O8,323.055460203,0.250056527,C10H16O8N2S,0,0,4,-4,-7,37.5,322.694814282,0.305185718,0.8,0.8,1.6,0.2,0,-9999,Carbohydrate,Carbohydrate,Other,37.5,-126.310757756,0.128690679,0.112967014,375,-1263.107577564
295.049211707,10,16,8,0,1,0,0,S1 O8,295.049312194,-0.340577441,C10H16O8S,0,0,3,-5,-6,54.6,294.719757122,0.280242878,0.2,0.8,1.6,0,0,-9999,Carbohydrate,Carbohydrate,Other,54.6,-141.173832441,0.117093486,0.099110614,546,-1411.738324406
307.07809855,10,16,9,2,0,0,0,N2 O9,307.078303648,-0.667902925,C10H16O9N2,0,0,4,-5,-7,37.5,306.735212402,0.264787598,0.8,0.9,1.6,0.2,0,-9999,Carbohydrate,Carbohydrate,Other,37.5,-122.315373421,0.128690679,0.115487116,375,-1223.153734209
339.050517886,10,16,9,2,1,0,0,N2 S1 O9,339.050374823,0.421951485,C10H16O9N2S,0,0,4,-5,-8,31.8,338.671931048,0.328068952,1,0.9,1.6,0.2,0,-9999,Carbohydrate,Carbohydrate,Other,31.8,-124.019989085,0.134503539,0.116577627,318,-1240.199890854
311.044052571,10,16,9,0,1,0,0,S1 O9,311.044226814,-0.560186133,C10H16O9S,0,0,3,-6,-7,48.9,310.696738003,0.303261997,0.4,0.9,1.6,0,0,-9999,Carbohydrate,Carbohydrate,Other,48.9,-138.88306377,0.118339131,0.102013469,489,-1388.830637695
214.108479287,10,17,4,1,0,0,0,N1 O4,214.108481578,-0.01070211,C10H17O4N,0,0,3,-1,-2,77.4,213.869403846,0.130596154,-0.6,0.4,1.7,0.1,0,-9999,Protein,Protein,Other,77.4,-142.346138454,0.089549361,0.082629765,774,-1423.461384537
230.103489943,10,17,5,1,0,0,0,N1 O5,230.103396198,0.407404312,C10H17O5N,0,0,3,-2,-3,71.7,229.84655433,0.15344567,-0.4,0.5,1.7,0.1,0,-9999,Protein,Protein,Other,71.7,-140.055369783,0.097177236,0.089455086,717,-1400.553697827
262.092973458,10,17,7,1,0,0,0,N1 O7,262.093225437,-0.961408501,C10H17O7N,0,0,3,-4,-5,60.3,261.800318103,0.199681897,0,0.7,1.7,0.1,0,-9999,Carbohydrate;Amino Sugar,Amino Sugar,Other,60.3,-135.473832441,0.115696287,0.100063795,603,-1354.738324406
307.070268106,10,17,7,2,0,1,0,N2 P1 O7,307.07006144,0.673025275,C10H17O7N2P,0,0,4,-3,-6,66,306.727390701,0.272609299,-0.2,0.7,1.7,0.2,0.1,2,Carbohydrate;Amino Sugar,Amino Sugar,Nucleotide,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
279.063729153,10,17,7,0,0,1,0,P1 O7,279.063913431,-0.660344935,C10H17O7P,0,0,3,-4,-5,83.1,278.7521241,0.2478759,-0.8,0.7,1.7,0,0.1,0,Carbohydrate;Amino Sugar,Amino Sugar,Other,83.1,-156.623060131,0.082489679,0.072464688,831,-1566.230601313
